name,0,1
バーベキュー,-0.0827563599448967,0.05573343337360828
キャンプ・グランピング,-0.25731893422342683,0.1560509004147913
温泉・銭湯,0.09632206464104828,0.18873601054246197
博物館・美術館,0.07236233964832352,-0.032769131099907055
飲み会(居酒屋),0.0965733849525288,-0.06345200008152022
ショッピング,-0.0019482045739366968,-0.07364369624952964
遊園地,-0.1955394274092267,-0.1310735170459243
動物園,-0.13319989057618775,-0.02361363928134099
水族館,-0.07652530835816905,0.020351860668070047
カラオケ,0.01802222908651477,-0.05739964324257794
料理・お菓子作り,0.1691261045189314,-0.013543980636540016
ボルダリング,0.0445879546671711,-0.10431643313607138
海へ観光,-0.19032691819031286,0.05548531514217159
食べ歩き,-0.11042222935430965,-0.06010597338262941
フルーツ狩り,-0.24059168874665593,0.0372962134963379
アニマルカフェ,0.17789444105405014,0.038945606979059244
サッカー,-0.2633403493942745,-0.049043820553093295
バスケ,-0.11834624899271136,-0.09171552997297118
バッティングセンター,0.11930883342286848,-0.03554579414358326
映画館で映画を見る,0.22100168308242676,-0.006098325022658286
読書・漫画を読む,0.22215823630265308,0.04068877307774133
絵を描く,0.025741664791256495,0.14753953914367798
レザークラフト,0.11710578824938794,-0.014922900195432026
脱出ゲーム,-0.06450085365163809,-0.2309855397224912
ゲーム,0.2142734629835869,-0.002896855720830479
ボウリング,-0.047190042150547375,-0.08843708530919069
ビリヤード,0.09907545197670006,-0.0014562096080290312
麻雀,0.2296340470864488,-0.006281534555458536
ボードゲーム,0.19853441450623963,0.03453465841679539
スポーツ観戦,0.06801896560634565,-0.09441538155050613
エステ・マッサージ,0.23890882600064678,0.022276190395303534
家で映画を見る,0.3380625553044039,-0.005656214415536197
パラグライダー,-0.2252919794136414,-0.03992494180182407
スカイダイビング,-0.3588916183344533,-0.25623153211513566
バンジージャンプ,-0.3805021000161456,-0.10937379901180372
カヌー・カヤック,-0.32075211203142096,-0.010120561969743216
サップボード,-0.34125182588203806,-0.0016049932836582472
スキューバダイビング,-0.2950898636648082,0.014010426177210933
シュノーケリング,-0.21614163535280362,-0.007219778011715738
ナイトプール,-0.12010211361212667,-0.10567745955993686
パラセーリング,-0.192528416889649,0.08843119205934757
ナイトツアー,-0.1628018442407479,0.15794731842389523
海・川釣り,-0.19334916883703782,0.17082540943514513
乗馬体験,-0.15265533400932085,-0.05205815522543353
キャンピングカーレンタル,-0.16824699824519457,0.15066608211435398
天体観測,-0.0142562131451786,0.16688224360449525
登山・トレッキング,-0.22140968249154416,0.03560576147801676
ハイキング・ウォーキング,-0.12658052386186913,0.08803172560825955
スキー・スノボー,-0.2805129464476006,0.018786135901489188
Bar,0.15967084067567605,-0.023155414859203
サバゲー,-0.24273220767962925,-0.09644787386733016
ビュッフェ・バイキング,0.19183815617520147,-0.00789433368387215
ライブハウス,0.036694480119098816,-0.1864855034202243
演劇・ミュージカル,0.1401735424735477,-0.08002107350342322
プラネタリウム,0.2956287943870717,0.013842056013359248
トランポリン,0.04334177640226388,-0.08995076961424435
パーソナルジム,0.07562368591520216,-0.0968338006786242
サイクリング,-0.14833730750904064,0.12691186003863636
フィットネス・ヨガ,0.2270889304026866,-0.05978477754547562
射撃・アーチェリー体験,-0.06378282782288819,-0.07873983909032628
陶芸・ガラス体験,0.15760876610700794,-0.03527428432125597
DIY家具,-0.04085221177004363,-0.04646774452829099
手作り雑貨,0.19471311734461091,0.014799906452457675
サウナ・岩盤浴,0.13739546541959338,0.1684863798579488
熱気球,-0.13874884274714874,0.1785039157009696
ヘリコプター遊覧,0.017374875800961805,0.059703518515897544
お祭り,-0.06947268891531612,-0.05628717514542177
花火大会,-0.09200781877339181,-0.059417296103254115
日帰りバスツアー,-0.26034758489544396,0.04016834258564412
料理教室,0.2765155678011172,-0.02484212249995373
占い,0.2877496181777073,-0.007864890974489764
イルミネーション,-0.057040903472413335,0.0027303881874346752
スケート,-0.013980877342325325,-0.10729715761405731
プール,-0.09036346682766028,-0.10270388163154742
釣り堀,0.10625831088307885,0.04878833417787078
展望台・タワー,0.19079597641801782,0.014216221933354253
カメラ撮影,0.10263288355184262,0.16465975477577874
ドライブ,0.018356647742407268,0.17199754789772534
絵画教室,0.19508544926127816,-0.045528320410721405
楽器を始める・教室,0.19960149947873684,-0.02165872551386702
燻製を嗜む,0.19950450510082782,0.07850052789713055
